Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,41.799200% to 58.00%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.1,
Label,,
TIME,CH1,CH1 Peak Detect
-2.72016e-03,0.062,0.058
-2.72000e-03,0.062,0.066
-2.71984e-03,0.058,0.058
-2.71968e-03,0.062,0.066
-2.71952e-03,0.058,0.058
-2.71936e-03,0.062,0.066
-2.71920e-03,0.062,0.058
-2.71904e-03,0.062,0.066
-2.71888e-03,0.062,0.058
-2.71872e-03,0.062,0.066
-2.71856e-03,0.058,0.058
-2.71840e-03,0.062,0.066
-2.71824e-03,0.062,0.058
-2.71808e-03,0.062,0.066
-2.71792e-03,0.058,0.058
-2.71776e-03,0.062,0.066
-2.71760e-03,0.062,0.058
-2.71744e-03,0.062,0.066
-2.71728e-03,0.062,0.058
-2.71712e-03,0.058,0.066
-2.71696e-03,0.062,0.054
-2.71680e-03,0.062,0.066
-2.71664e-03,0.058,0.054
-2.71648e-03,0.062,0.066
-2.71632e-03,0.062,0.058
-2.71616e-03,0.058,0.066
-2.71600e-03,0.058,0.058
-2.71584e-03,0.062,0.066
-2.71568e-03,0.058,0.058
-2.71552e-03,0.062,0.066
-2.71536e-03,0.058,0.058
-2.71520e-03,0.062,0.066
-2.71504e-03,0.062,0.058
-2.71488e-03,0.058,0.066
-2.71472e-03,0.062,0.058
-2.71456e-03,0.062,0.066
-2.71440e-03,0.062,0.058
-2.71424e-03,0.062,0.066
-2.71408e-03,0.062,0.058
-2.71392e-03,0.066,0.066
-2.71376e-03,0.062,0.062
-2.71360e-03,0.062,0.07
-2.71344e-03,0.066,0.058
-2.71328e-03,0.062,0.066
-2.71312e-03,0.062,0.058
-2.71296e-03,0.062,0.066
-2.71280e-03,0.062,0.058
-2.71264e-03,0.062,0.066
-2.71248e-03,0.062,0.058
-2.71232e-03,0.058,0.066
-2.71216e-03,0.062,0.058
-2.71200e-03,0.062,0.066
-2.71184e-03,0.062,0.058
-2.71168e-03,0.062,0.066
-2.71152e-03,0.062,0.058
-2.71136e-03,0.062,0.066
-2.71120e-03,0.062,0.058
-2.71104e-03,0.062,0.066
-2.71088e-03,0.058,0.058
-2.71072e-03,0.066,0.066
-2.71056e-03,0.062,0.058
-2.71040e-03,0.062,0.066
-2.71024e-03,0.062,0.058
-2.71008e-03,0.062,0.07
-2.70992e-03,0.062,0.058
-2.70976e-03,0.062,0.066
-2.70960e-03,0.062,0.058
-2.70944e-03,0.062,0.066
-2.70928e-03,0.062,0.058
-2.70912e-03,0.058,0.066
-2.70896e-03,0.062,0.058
-2.70880e-03,0.062,0.066
-2.70864e-03,0.062,0.058
-2.70848e-03,0.062,0.066
-2.70832e-03,0.062,0.058
-2.70816e-03,0.062,0.066
-2.70800e-03,0.062,0.058
-2.70784e-03,0.062,0.066
-2.70768e-03,0.062,0.058
-2.70752e-03,0.062,0.066
-2.70736e-03,0.062,0.058
-2.70720e-03,0.058,0.066
-2.70704e-03,0.062,0.058
-2.70688e-03,0.062,0.066
-2.70672e-03,0.062,0.058
-2.70656e-03,0.062,0.066
-2.70640e-03,0.062,0.058
-2.70624e-03,0.066,0.066
-2.70608e-03,0.062,0.058
-2.70592e-03,0.062,0.066
-2.70576e-03,0.066,0.058
-2.70560e-03,0.062,0.066
-2.70544e-03,0.066,0.058
-2.70528e-03,0.066,0.07
-2.70512e-03,0.062,0.058
-2.70496e-03,0.066,0.07
-2.70480e-03,0.062,0.062
-2.70464e-03,0.062,0.07
-2.70448e-03,0.062,0.062
-2.70432e-03,0.066,0.07
-2.70416e-03,0.066,0.062
-2.70400e-03,0.066,0.07
-2.70384e-03,0.062,0.058
-2.70368e-03,0.062,0.07
-2.70352e-03,0.066,0.062
-2.70336e-03,0.066,0.07
-2.70320e-03,0.066,0.062
-2.70304e-03,0.066,0.07
-2.70288e-03,0.066,0.062
-2.70272e-03,0.066,0.07
-2.70256e-03,0.066,0.062
-2.70240e-03,0.062,0.07
-2.70224e-03,0.062,0.062
-2.70208e-03,0.062,0.066
-2.70192e-03,0.058,0.058
-2.70176e-03,0.062,0.066
-2.70160e-03,0.062,0.058
-2.70144e-03,0.062,0.066
-2.70128e-03,0.066,0.058
-2.70112e-03,0.062,0.066
-2.70096e-03,0.066,0.058
-2.70080e-03,0.066,0.07
-2.70064e-03,0.062,0.058
-2.70048e-03,0.062,0.07
-2.70032e-03,0.062,0.058
-2.70016e-03,0.066,0.07
-2.70000e-03,0.062,0.062
-2.69984e-03,0.062,0.07
-2.69968e-03,0.062,0.062
-2.69952e-03,0.062,0.07
-2.69936e-03,0.062,0.058
-2.69920e-03,0.062,0.07
-2.69904e-03,0.062,0.058
-2.69888e-03,0.062,0.07
-2.69872e-03,0.062,0.058
-2.69856e-03,0.062,0.07
-2.69840e-03,0.062,0.058
-2.69824e-03,0.062,0.07
-2.69808e-03,0.062,0.058
-2.69792e-03,0.062,0.07
-2.69776e-03,0.062,0.058
-2.69760e-03,0.062,0.066
-2.69744e-03,0.062,0.058
-2.69728e-03,0.066,0.07
-2.69712e-03,0.062,0.062
-2.69696e-03,0.066,0.07
-2.69680e-03,0.062,0.062
-2.69664e-03,0.062,0.07
-2.69648e-03,0.062,0.058
-2.69632e-03,0.062,0.07
-2.69616e-03,0.062,0.058
-2.69600e-03,0.062,0.07
-2.69584e-03,0.066,0.058
-2.69568e-03,0.066,0.07
-2.69552e-03,0.062,0.062
-2.69536e-03,0.062,0.066
-2.69520e-03,0.066,0.058
-2.69504e-03,0.062,0.07
-2.69488e-03,0.062,0.062
-2.69472e-03,0.062,0.07
-2.69456e-03,0.066,0.062
-2.69440e-03,0.066,0.07
-2.69424e-03,0.066,0.062
-2.69408e-03,0.062,0.07
-2.69392e-03,0.062,0.062
-2.69376e-03,0.062,0.07
-2.69360e-03,0.058,0.058
-2.69344e-03,0.062,0.066
-2.69328e-03,0.062,0.058
-2.69312e-03,0.062,0.07
-2.69296e-03,0.062,0.058
-2.69280e-03,0.062,0.066
-2.69264e-03,0.062,0.058
-2.69248e-03,0.062,0.066
-2.69232e-03,0.062,0.058
-2.69216e-03,0.066,0.07
-2.69200e-03,0.066,0.062
-2.69184e-03,0.062,0.07
-2.69168e-03,0.066,0.062
-2.69152e-03,0.062,0.07
-2.69136e-03,0.066,0.062
-2.69120e-03,0.062,0.07
-2.69104e-03,0.062,0.062
-2.69088e-03,0.062,0.07
-2.69072e-03,0.062,0.058
-2.69056e-03,0.062,0.07
-2.69040e-03,0.066,0.058
-2.69024e-03,0.062,0.066
-2.69008e-03,0.066,0.058
-2.68992e-03,0.066,0.066
-2.68976e-03,0.066,0.062
-2.68960e-03,0.066,0.07
-2.68944e-03,0.066,0.062
-2.68928e-03,0.066,0.07
-2.68912e-03,0.066,0.062
-2.68896e-03,0.062,0.07
-2.68880e-03,0.062,0.062
-2.68864e-03,0.062,0.07
-2.68848e-03,0.062,0.058
-2.68832e-03,0.062,0.066
-2.68816e-03,0.062,0.058
-2.68800e-03,0.062,0.07
-2.68784e-03,0.062,0.062
-2.68768e-03,0.066,0.07
-2.68752e-03,0.066,0.062
-2.68736e-03,0.066,0.07
-2.68720e-03,0.066,0.062
-2.68704e-03,0.062,0.07
-2.68688e-03,0.062,0.062
-2.68672e-03,0.066,0.07
-2.68656e-03,0.062,0.058
