Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.1,
Label,,
TIME,CH1,CH1 Peak Detect
-1.20800e-02,0.462,0.47
-1.20798e-02,0.462,0.458
-1.20797e-02,0.462,0.466
-1.20795e-02,0.462,0.458
-1.20794e-02,0.462,0.466
-1.20792e-02,0.47,0.458
-1.20790e-02,0.466,0.466
-1.20789e-02,0.47,0.462
-1.20787e-02,0.474,0.47
-1.20786e-02,0.474,0.462
-1.20784e-02,0.474,0.474
-1.20782e-02,0.474,0.47
-1.20781e-02,0.474,0.478
-1.20779e-02,0.466,0.47
-1.20778e-02,0.466,0.478
-1.20776e-02,0.466,0.466
-1.20774e-02,0.47,0.474
-1.20773e-02,0.47,0.462
-1.20771e-02,0.47,0.47
-1.20770e-02,0.474,0.466
-1.20768e-02,0.474,0.474
-1.20766e-02,0.474,0.47
-1.20765e-02,0.474,0.478
-1.20763e-02,0.474,0.474
-1.20762e-02,0.474,0.478
-1.20760e-02,0.474,0.47
-1.20758e-02,0.47,0.478
-1.20757e-02,0.462,0.466
-1.20755e-02,0.458,0.478
-1.20754e-02,0.458,0.458
-1.20752e-02,0.454,0.47
-1.20750e-02,0.458,0.454
-1.20749e-02,0.458,0.462
-1.20747e-02,0.458,0.45
-1.20746e-02,0.462,0.462
-1.20744e-02,0.458,0.454
-1.20742e-02,0.462,0.466
-1.20741e-02,0.458,0.458
-1.20739e-02,0.458,0.466
-1.20738e-02,0.458,0.454
-1.20736e-02,0.458,0.466
-1.20734e-02,0.462,0.454
-1.20733e-02,0.466,0.462
-1.20731e-02,0.466,0.458
-1.20730e-02,0.47,0.466
-1.20728e-02,0.47,0.462
-1.20726e-02,0.47,0.47
-1.20725e-02,0.474,0.466
-1.20723e-02,0.474,0.474
-1.20722e-02,0.478,0.466
-1.20720e-02,0.478,0.478
-1.20718e-02,0.478,0.474
-1.20717e-02,0.478,0.482
-1.20715e-02,0.478,0.474
-1.20714e-02,0.478,0.482
-1.20712e-02,0.474,0.47
-1.20710e-02,0.474,0.478
-1.20709e-02,0.474,0.47
-1.20707e-02,0.474,0.478
-1.20706e-02,0.478,0.47
-1.20704e-02,0.47,0.478
-1.20702e-02,0.47,0.47
-1.20701e-02,0.47,0.478
-1.20699e-02,0.466,0.466
-1.20698e-02,0.466,0.474
-1.20696e-02,0.466,0.462
-1.20694e-02,0.466,0.474
-1.20693e-02,0.47,0.462
-1.20691e-02,0.466,0.47
-1.20690e-02,0.466,0.462
-1.20688e-02,0.466,0.47
-1.20686e-02,0.458,0.462
-1.20685e-02,0.462,0.47
-1.20683e-02,0.462,0.458
-1.20682e-02,0.462,0.466
-1.20680e-02,0.466,0.458
-1.20678e-02,0.462,0.466
-1.20677e-02,0.466,0.458
-1.20675e-02,0.466,0.47
-1.20674e-02,0.466,0.462
-1.20672e-02,0.466,0.47
-1.20670e-02,0.466,0.462
-1.20669e-02,0.47,0.47
-1.20667e-02,0.47,0.462
-1.20666e-02,0.47,0.47
-1.20664e-02,0.47,0.466
-1.20662e-02,0.47,0.474
-1.20661e-02,0.47,0.466
-1.20659e-02,0.47,0.474
-1.20658e-02,0.47,0.466
-1.20656e-02,0.47,0.474
-1.20654e-02,0.466,0.466
-1.20653e-02,0.47,0.474
-1.20651e-02,0.47,0.466
-1.20650e-02,0.474,0.474
-1.20648e-02,0.47,0.466
-1.20646e-02,0.47,0.474
-1.20645e-02,0.466,0.466
-1.20643e-02,0.462,0.478
-1.20642e-02,0.462,0.458
-1.20640e-02,0.458,0.47
-1.20638e-02,0.462,0.458
-1.20637e-02,0.458,0.466
-1.20635e-02,0.462,0.454
-1.20634e-02,0.458,0.462
-1.20632e-02,0.466,0.454
-1.20630e-02,0.466,0.466
-1.20629e-02,0.47,0.458
-1.20627e-02,0.47,0.47
-1.20626e-02,0.474,0.466
-1.20624e-02,0.47,0.474
-1.20622e-02,0.47,0.466
-1.20621e-02,0.47,0.474
-1.20619e-02,0.47,0.466
-1.20618e-02,0.466,0.474
-1.20616e-02,0.47,0.466
-1.20614e-02,0.474,0.474
-1.20613e-02,0.474,0.466
-1.20611e-02,0.474,0.474
-1.20610e-02,0.474,0.47
-1.20608e-02,0.47,0.478
-1.20606e-02,0.466,0.466
-1.20605e-02,0.466,0.474
-1.20603e-02,0.462,0.466
-1.20602e-02,0.462,0.474
-1.20600e-02,0.462,0.462
-1.20598e-02,0.458,0.47
-1.20597e-02,0.454,0.458
-1.20595e-02,0.454,0.466
-1.20594e-02,0.454,0.45
-1.20592e-02,0.458,0.462
-1.20590e-02,0.466,0.454
-1.20589e-02,0.47,0.462
-1.20587e-02,0.474,0.458
-1.20586e-02,0.478,0.47
-1.20584e-02,0.478,0.466
-1.20582e-02,0.47,0.478
-1.20581e-02,0.47,0.47
-1.20579e-02,0.466,0.478
-1.20578e-02,0.47,0.462
-1.20576e-02,0.47,0.474
-1.20574e-02,0.478,0.462
-1.20573e-02,0.478,0.474
-1.20571e-02,0.478,0.466
-1.20570e-02,0.478,0.482
-1.20568e-02,0.474,0.478
-1.20566e-02,0.47,0.482
-1.20565e-02,0.47,0.47
-1.20563e-02,0.466,0.482
-1.20562e-02,0.47,0.466
-1.20560e-02,0.466,0.474
-1.20558e-02,0.466,0.466
-1.20557e-02,0.462,0.47
-1.20555e-02,0.458,0.462
-1.20554e-02,0.458,0.47
-1.20552e-02,0.45,0.454
-1.20550e-02,0.45,0.466
-1.20549e-02,0.454,0.45
-1.20547e-02,0.458,0.458
-1.20546e-02,0.466,0.45
-1.20544e-02,0.462,0.462
-1.20542e-02,0.466,0.458
-1.20541e-02,0.466,0.466
-1.20539e-02,0.466,0.462
-1.20538e-02,0.47,0.47
-1.20536e-02,0.47,0.462
-1.20534e-02,0.47,0.47
-1.20533e-02,0.474,0.462
-1.20531e-02,0.47,0.47
-1.20530e-02,0.47,0.466
-1.20528e-02,0.47,0.474
-1.20526e-02,0.47,0.47
-1.20525e-02,0.47,0.474
-1.20523e-02,0.47,0.466
-1.20522e-02,0.47,0.474
-1.20520e-02,0.466,0.462
-1.20518e-02,0.47,0.47
-1.20517e-02,0.466,0.466
-1.20515e-02,0.47,0.474
-1.20514e-02,0.466,0.466
-1.20512e-02,0.462,0.474
-1.20510e-02,0.458,0.458
-1.20509e-02,0.454,0.47
-1.20507e-02,0.45,0.454
-1.20506e-02,0.454,0.462
-1.20504e-02,0.454,0.45
-1.20502e-02,0.454,0.458
-1.20501e-02,0.462,0.454
-1.20499e-02,0.462,0.462
-1.20498e-02,0.466,0.458
-1.20496e-02,0.466,0.47
-1.20494e-02,0.466,0.462
-1.20493e-02,0.462,0.47
-1.20491e-02,0.466,0.462
-1.20490e-02,0.462,0.47
-1.20488e-02,0.466,0.462
-1.20486e-02,0.466,0.47
-1.20485e-02,0.466,0.462
-1.20483e-02,0.466,0.47
-1.20482e-02,0.466,0.466
-1.20480e-02,0.462,0.47
-1.20478e-02,0.462,0.462
-1.20477e-02,0.458,0.47
-1.20475e-02,0.458,0.458
-1.20474e-02,0.462,0.466
-1.20472e-02,0.458,0.454
-1.20470e-02,0.462,0.462
-1.20469e-02,0.458,0.454
-1.20467e-02,0.462,0.466
-1.20466e-02,0.462,0.458
-1.20464e-02,0.466,0.466
