Model,DPO2024B
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.002
Sample Interval,1.6e-07
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH1
-1.10800e-02,0.471031
-1.10798e-02,0.470953
-1.10797e-02,0.470797
-1.10795e-02,0.470719
-1.10794e-02,0.470547
-1.10792e-02,0.470703
-1.10790e-02,0.470828
-1.10789e-02,0.471391
-1.10787e-02,0.471031
-1.10786e-02,0.471219
-1.10784e-02,0.471719
-1.10782e-02,0.472
-1.10781e-02,0.472406
-1.10779e-02,0.472688
-1.10778e-02,0.472469
-1.10776e-02,0.472453
-1.10774e-02,0.472391
-1.10773e-02,0.472297
-1.10771e-02,0.472125
-1.10770e-02,0.472047
-1.10768e-02,0.472047
-1.10766e-02,0.471734
-1.10765e-02,0.471922
-1.10763e-02,0.471609
-1.10762e-02,0.471625
-1.10760e-02,0.471219
-1.10758e-02,0.471016
-1.10757e-02,0.471156
-1.10755e-02,0.471281
-1.10754e-02,0.471109
-1.10752e-02,0.471313
-1.10750e-02,0.471203
-1.10749e-02,0.471406
-1.10747e-02,0.471188
-1.10746e-02,0.471516
-1.10744e-02,0.471922
-1.10742e-02,0.472188
-1.10741e-02,0.472188
-1.10739e-02,0.471938
-1.10738e-02,0.471516
-1.10736e-02,0.472
-1.10734e-02,0.472031
-1.10733e-02,0.472141
-1.10731e-02,0.472766
-1.10730e-02,0.472891
-1.10728e-02,0.473641
-1.10726e-02,0.473797
-1.10725e-02,0.473891
-1.10723e-02,0.473516
-1.10722e-02,0.473094
-1.10720e-02,0.473016
-1.10718e-02,0.472469
-1.10717e-02,0.472422
-1.10715e-02,0.471938
-1.10714e-02,0.471734
-1.10712e-02,0.471547
-1.10710e-02,0.471281
-1.10709e-02,0.471313
-1.10707e-02,0.471313
-1.10706e-02,0.471594
-1.10704e-02,0.472047
-1.10702e-02,0.471922
-1.10701e-02,0.471672
-1.10699e-02,0.471313
-1.10698e-02,0.471078
-1.10696e-02,0.470641
-1.10694e-02,0.470766
-1.10693e-02,0.470688
-1.10691e-02,0.471234
-1.10690e-02,0.471656
-1.10688e-02,0.471859
-1.10686e-02,0.472344
-1.10685e-02,0.472313
-1.10683e-02,0.472344
-1.10682e-02,0.472203
-1.10680e-02,0.472016
-1.10678e-02,0.47225
-1.10677e-02,0.472516
-1.10675e-02,0.472188
-1.10674e-02,0.471984
-1.10672e-02,0.471609
-1.10670e-02,0.471406
-1.10669e-02,0.471234
-1.10667e-02,0.471609
-1.10666e-02,0.471719
-1.10664e-02,0.472156
-1.10662e-02,0.472703
-1.10661e-02,0.472656
-1.10659e-02,0.472781
-1.10658e-02,0.472484
-1.10656e-02,0.472906
-1.10654e-02,0.472594
-1.10653e-02,0.472578
-1.10651e-02,0.472422
-1.10650e-02,0.472219
-1.10648e-02,0.471938
-1.10646e-02,0.471641
-1.10645e-02,0.471313
-1.10643e-02,0.471703
-1.10642e-02,0.471469
-1.10640e-02,0.471688
-1.10638e-02,0.472125
-1.10637e-02,0.472031
-1.10635e-02,0.471969
-1.10634e-02,0.472047
-1.10632e-02,0.472078
-1.10630e-02,0.471766
-1.10629e-02,0.471891
-1.10627e-02,0.472375
-1.10626e-02,0.471703
-1.10624e-02,0.47225
-1.10622e-02,0.472047
-1.10621e-02,0.472016
-1.10619e-02,0.471953
-1.10618e-02,0.472344
-1.10616e-02,0.472797
-1.10614e-02,0.472516
-1.10613e-02,0.472578
-1.10611e-02,0.472188
-1.10610e-02,0.472016
-1.10608e-02,0.471734
-1.10606e-02,0.471625
-1.10605e-02,0.471766
-1.10603e-02,0.471875
-1.10602e-02,0.471734
-1.10600e-02,0.472
-1.10598e-02,0.472156
-1.10597e-02,0.472125
-1.10595e-02,0.472203
-1.10594e-02,0.471813
-1.10592e-02,0.472031
-1.10590e-02,0.471531
-1.10589e-02,0.472203
-1.10587e-02,0.472172
-1.10586e-02,0.472266
-1.10584e-02,0.47225
-1.10582e-02,0.471922
-1.10581e-02,0.472172
-1.10579e-02,0.472281
-1.10578e-02,0.472406
-1.10576e-02,0.472656
-1.10574e-02,0.473063
-1.10573e-02,0.473594
-1.10571e-02,0.473844
-1.10570e-02,0.47375
-1.10568e-02,0.47425
-1.10566e-02,0.474
-1.10565e-02,0.474156
-1.10563e-02,0.473938
-1.10562e-02,0.473266
-1.10560e-02,0.473219
-1.10558e-02,0.473031
-1.10557e-02,0.473125
-1.10555e-02,0.472656
-1.10554e-02,0.47275
-1.10552e-02,0.472391
-1.10550e-02,0.472422
-1.10549e-02,0.472719
-1.10547e-02,0.47275
-1.10546e-02,0.472719
-1.10544e-02,0.472875
-1.10542e-02,0.472969
-1.10541e-02,0.473063
-1.10539e-02,0.472844
-1.10538e-02,0.472484
-1.10536e-02,0.472875
-1.10534e-02,0.472141
-1.10533e-02,0.472906
-1.10531e-02,0.472484
-1.10530e-02,0.472656
-1.10528e-02,0.472563
-1.10526e-02,0.472672
-1.10525e-02,0.472266
-1.10523e-02,0.472031
-1.10522e-02,0.472219
-1.10520e-02,0.472594
-1.10518e-02,0.472797
-1.10517e-02,0.472891
-1.10515e-02,0.472953
-1.10514e-02,0.472938
-1.10512e-02,0.473172
-1.10510e-02,0.472797
-1.10509e-02,0.472656
-1.10507e-02,0.472594
-1.10506e-02,0.472391
-1.10504e-02,0.472484
-1.10502e-02,0.472422
-1.10501e-02,0.472891
-1.10499e-02,0.473047
-1.10498e-02,0.473141
-1.10496e-02,0.47325
-1.10494e-02,0.473328
-1.10493e-02,0.473625
-1.10491e-02,0.473703
-1.10490e-02,0.473656
-1.10488e-02,0.473578
-1.10486e-02,0.473328
-1.10485e-02,0.473594
-1.10483e-02,0.473359
-1.10482e-02,0.473359
-1.10480e-02,0.473563
-1.10478e-02,0.473
-1.10477e-02,0.472516
-1.10475e-02,0.472313
-1.10474e-02,0.472078
-1.10472e-02,0.472125
-1.10470e-02,0.472141
-1.10469e-02,0.47225
-1.10467e-02,0.472375
-1.10466e-02,0.47225
-1.10464e-02,0.472359
-1.10462e-02,0.471953
-1.10461e-02,0.472281
-1.10459e-02,0.471734
-1.10458e-02,0.472016
-1.10456e-02,0.472484
-1.10454e-02,0.472672
-1.10453e-02,0.472844
-1.10451e-02,0.472703
-1.10450e-02,0.472891
-1.10448e-02,0.472422
-1.10446e-02,0.473016
-1.10445e-02,0.472844
-1.10443e-02,0.473172
-1.10442e-02,0.473203
-1.10440e-02,0.473516
-1.10438e-02,0.473453
-1.10437e-02,0.472969
-1.10435e-02,0.473328
-1.10434e-02,0.473094
-1.10432e-02,0.473047
-1.10430e-02,0.473141
-1.10429e-02,0.472563
-1.10427e-02,0.472609
-1.10426e-02,0.472156
-1.10424e-02,0.471969
-1.10422e-02,0.472063
-1.10421e-02,0.472109
-1.10419e-02,0.471938
-1.10418e-02,0.472047
-1.10416e-02,0.472281
-1.10414e-02,0.472141
-1.10413e-02,0.472344
-1.10411e-02,0.472281
-1.10410e-02,0.472422
-1.10408e-02,0.4725
-1.10406e-02,0.472484
-1.10405e-02,0.472984
-1.10403e-02,0.472516
-1.10402e-02,0.472859
-1.10400e-02,0.47275
-1.10398e-02,0.473156
-1.10397e-02,0.473328
-1.10395e-02,0.473297
-1.10394e-02,0.473266
-1.10392e-02,0.473047
-1.10390e-02,0.473297
-1.10389e-02,0.472922
-1.10387e-02,0.472922
-1.10386e-02,0.472688
