Parameter,Image1,Image2,Image3
0.0,1122,599,0
0.001,1122,571,2
0.002,1122,570,4
0.003,1122,587,33
0.004,1122,581,78
0.005,1122,609,140
0.006,1122,597,182
0.007,1122,594,227
0.008,1122,568,238
0.009000000000000001,1122,576,299
0.01,1122,572,317
0.011,1122,579,350
0.012,1122,582,368
0.013000000000000001,1122,577,401
0.014,1122,580,393
0.014999999999999998,1122,614,446
0.016,1122,630,494
0.017,1122,566,432
0.018000000000000002,1122,576,438
0.019,1122,587,462
0.02,1122,572,441
0.021,1122,585,467
0.022,1122,571,465
0.023,1122,611,502
0.024,1122,589,475
0.025,1122,568,454
0.026000000000000002,1122,586,474
0.027,1122,601,488
0.028,1122,597,490
0.029,1122,605,518
0.03,1122,565,459
