Parameter,Image1,Image2,Image3
0.0,1144,461,0
0.001,1144,447,0
0.002,1144,460,10
0.003,1144,456,45
0.004,1144,476,70
0.005,1144,482,112
0.006,1144,455,149
0.007,1144,473,165
0.008,1144,451,186
0.009000000000000001,1144,464,202
0.01,1144,476,263
0.011,1144,468,226
0.012,1144,469,252
0.013000000000000001,1144,474,254
0.014,1144,456,274
0.014999999999999998,1144,477,297
0.016,1144,438,254
0.017,1144,468,290
0.018000000000000002,1144,456,300
0.019,1144,486,326
0.02,1144,451,277
0.021,1144,470,285
0.022,1144,485,311
0.023,1144,469,287
0.024,1144,441,285
0.025,1144,470,307
0.026000000000000002,1144,471,307
0.027,1144,480,306
0.028,1144,461,303
0.029,1144,458,304
0.03,1144,464,316
