Parameter,Image1,Image2,Image3
0.0,242,92,0
0.001,242,93,0
0.002,242,93,0
0.003,242,98,2
0.004,242,99,3
0.005,242,93,8
0.006,242,94,6
0.007,242,91,13
0.008,242,87,29
0.009000000000000001,242,93,31
0.01,242,102,28
0.011,242,99,34
0.012,242,91,43
0.013000000000000001,242,83,28
0.014,242,93,41
0.014999999999999998,242,98,51
0.016,242,96,49
0.017,242,117,68
0.018000000000000002,242,86,54
0.019,242,95,63
0.02,242,86,50
0.021,242,98,64
0.022,242,87,58
0.023,242,105,59
0.024,242,106,69
0.025,242,97,64
0.026000000000000002,242,86,65
0.027,242,105,71
0.028,242,89,59
0.029,242,93,66
0.03,242,98,78
