Parameter,Image1,Image2,Image3
0.0,210,98,0
0.001,210,98,0
0.002,210,86,5
0.003,210,102,9
0.004,210,92,12
0.005,210,95,20
0.006,210,88,15
0.007,210,88,24
0.008,210,98,27
0.009000000000000001,210,95,30
0.01,210,97,33
0.011,210,79,37
0.012,210,92,47
0.013000000000000001,210,85,31
0.014,210,86,48
0.014999999999999998,210,100,54
0.016,210,84,50
0.017,210,98,53
0.018000000000000002,210,90,53
0.019,210,95,63
0.02,210,87,54
0.021,210,91,54
0.022,210,97,56
0.023,210,104,71
0.024,210,82,50
0.025,210,91,58
0.026000000000000002,210,90,56
0.027,210,79,49
0.028,210,97,63
0.029,210,93,66
0.03,210,91,55
