Parameter,Image1,Image2,Image3
0.0,1026,288,0
0.001,1026,237,1
0.002,1026,267,30
0.003,1026,256,40
0.004,1026,264,41
0.005,1026,237,41
0.006,1026,285,47
0.007,1026,247,52
0.008,1026,268,55
0.009000000000000001,1026,276,64
0.01,1026,244,58
0.011,1026,245,66
0.012,1026,251,56
0.013000000000000001,1026,260,86
0.014,1026,254,72
0.014999999999999998,1026,245,91
0.016,1026,270,113
0.017,1026,241,94
0.018000000000000002,1026,261,109
0.019,1026,236,103
0.02,1026,254,118
0.021,1026,257,116
0.022,1026,256,135
0.023,1026,248,136
0.024,1026,238,127
0.025,1026,237,146
0.026000000000000002,1026,243,135
0.027,1026,268,150
0.028,1026,259,151
0.029,1026,236,147
0.03,1026,244,146
