Parameter,Image1,Image2,Image3
0.0,922,414,0
0.0012,922,414,0
0.0024,922,409,13
0.0035999999999999995,922,416,36
0.0048,922,409,55
0.006,922,425,75
0.007199999999999999,922,456,97
0.0084,922,416,101
0.0096,922,411,113
0.010799999999999999,922,425,142
0.012,922,432,173
0.013199999999999998,922,455,196
0.014399999999999998,922,415,202
0.0156,922,414,183
0.0168,922,417,202
0.018,922,419,210
0.0192,922,434,214
0.020399999999999998,922,421,222
0.021599999999999998,922,410,228
0.022799999999999997,922,427,270
0.024,922,415,261
0.025199999999999997,922,429,259
0.026399999999999996,922,418,254
0.0276,922,430,264
0.028799999999999996,922,423,275
0.029999999999999995,922,432,265
0.0312,922,420,265
0.0324,922,434,310
0.0336,922,465,284
0.03479999999999999,922,425,281
0.036,922,442,294
