Parameter,Image1,Image2,Image3
0.0,1030,481,0
0.0012,1030,457,0
0.0024,1030,468,6
0.0035999999999999995,1030,439,24
0.0048,1030,433,54
0.006,1030,450,92
0.007199999999999999,1030,447,113
0.0084,1030,473,143
0.0096,1030,481,175
0.010799999999999999,1030,469,183
0.012,1030,453,193
0.013199999999999998,1030,492,220
0.014399999999999998,1030,462,230
0.0156,1030,485,249
0.0168,1030,463,249
0.018,1030,494,278
0.0192,1030,458,273
0.020399999999999998,1030,461,265
0.021599999999999998,1030,447,261
0.022799999999999997,1030,482,304
0.024,1030,462,275
0.025199999999999997,1030,443,283
0.026399999999999996,1030,453,278
0.0276,1030,458,288
0.028799999999999996,1030,467,286
0.029999999999999995,1030,449,279
0.0312,1030,470,289
0.0324,1030,466,311
0.0336,1030,453,287
0.03479999999999999,1030,447,300
0.036,1030,445,276
