Parameter,Image1,Image2,Image3
1.0,660,235,97
2.0,660,219,36
3.0,660,235,61
4.0,660,238,60
5.0,660,227,67
6.0,660,234,70
7.0,660,254,58
8.0,660,219,58
9.0,660,226,50
10.0,660,239,51
11.0,660,246,50
12.0,660,238,42
13.0,660,236,41
14.0,660,239,39
15.0,660,216,33
16.0,660,237,32
17.0,660,235,17
18.0,660,232,174
19.0,660,247,174
20.0,660,242,158
21.0,660,276,164
22.0,660,238,131
23.0,660,237,118
24.0,660,227,101
25.0,660,241,87
26.0,660,225,103
27.0,660,244,77
28.0,660,227,59
29.0,660,227,67
30.0,660,250,56
31.0,660,209,47
32.0,660,230,39
33.0,660,233,38
34.0,660,227,31
35.0,660,233,139
36.0,660,238,104
37.0,660,234,93
38.0,660,213,81
39.0,660,209,55
40.0,660,209,53
41.0,660,237,56
42.0,660,215,42
43.0,660,252,30
44.0,660,232,33
45.0,660,236,32
46.0,660,207,30
47.0,660,235,25
48.0,660,238,27
49.0,660,241,19
50.0,660,226,22
51.0,660,225,13
52.0,660,243,28
53.0,660,256,79
54.0,660,213,103
55.0,660,230,117
56.0,660,234,136
57.0,660,240,157
58.0,660,236,156
59.0,660,220,164
60.0,660,249,178
61.0,660,227,168
62.0,660,235,177
63.0,660,227,163
64.0,660,228,180
65.0,660,228,176
66.0,660,218,169
67.0,660,248,187
68.0,660,248,188
69.0,660,231,170
70.0,660,247,188
71.0,660,284,232
72.0,660,260,208
