Parameter,Image1,Image2,Image3
1.0,380,217,2
2.0,380,217,3
3.0,380,248,2
4.0,380,236,2
5.0,380,236,0
6.0,380,244,0
7.0,380,227,5
8.0,380,237,6
9.0,380,247,7
10.0,380,236,2
11.0,380,246,0
12.0,380,236,0
13.0,380,237,3
14.0,380,225,1
15.0,380,237,1
16.0,380,239,0
17.0,380,221,0
18.0,380,234,1
19.0,380,250,7
20.0,380,242,39
21.0,380,245,54
22.0,380,239,37
23.0,380,237,8
24.0,380,236,5
25.0,380,243,5
26.0,380,253,2
27.0,380,243,2
28.0,380,224,2
29.0,380,233,3
30.0,380,233,4
31.0,380,242,6
32.0,380,233,11
33.0,380,226,32
34.0,380,240,37
35.0,380,221,27
36.0,380,242,7
37.0,380,247,0
38.0,380,241,2
39.0,380,246,1
40.0,380,254,1
41.0,380,232,1
42.0,380,231,5
43.0,380,241,6
44.0,380,226,3
45.0,380,243,1
46.0,380,242,1
47.0,380,253,6
48.0,380,221,4
49.0,380,242,3
50.0,380,225,1
51.0,380,234,2
52.0,380,232,3
53.0,380,238,1
54.0,380,228,1
55.0,380,233,1
56.0,380,235,1
57.0,380,221,0
58.0,380,229,0
59.0,380,229,4
60.0,380,246,1
61.0,380,235,1
62.0,380,233,0
63.0,380,237,0
64.0,380,249,0
65.0,380,220,0
66.0,380,231,2
67.0,380,248,0
68.0,380,226,1
69.0,380,243,1
70.0,380,234,0
71.0,380,250,1
72.0,380,235,0
73.0,380,244,3
74.0,380,230,0
75.0,380,232,7
76.0,380,230,11
77.0,380,222,80
78.0,380,228,134
79.0,380,238,9
80.0,380,227,1
81.0,380,237,4
82.0,380,234,0
83.0,380,230,1
84.0,380,231,3
85.0,380,235,5
86.0,380,244,2
87.0,380,219,1
88.0,380,217,3
89.0,380,219,0
90.0,380,230,3
91.0,380,246,7
92.0,380,232,8
93.0,380,228,12
94.0,380,236,21
95.0,380,235,82
96.0,380,239,156
97.0,380,223,26
98.0,380,231,3
99.0,380,238,4
100.0,380,248,2
101.0,380,235,1
102.0,380,246,5
103.0,380,228,2
104.0,380,245,3
105.0,380,240,5
106.0,380,240,0
107.0,380,231,3
108.0,380,241,1
109.0,380,256,2
110.0,380,229,2
111.0,380,240,4
112.0,380,237,1
113.0,380,250,3
114.0,380,249,3
115.0,380,231,2
116.0,380,228,2
117.0,380,242,0
118.0,380,236,2
119.0,380,235,1
120.0,380,240,1
121.0,380,245,0
122.0,380,229,1
123.0,380,252,3
124.0,380,238,2
125.0,380,226,1
126.0,380,232,6
127.0,380,232,39
128.0,380,242,182
129.0,380,229,89
130.0,380,232,3
131.0,380,228,4
132.0,380,229,1
133.0,380,238,2
134.0,380,246,3
135.0,380,228,5
136.0,380,240,4
137.0,380,239,4
138.0,380,220,4
139.0,380,245,6
140.0,380,239,4
141.0,380,225,4
142.0,380,219,3
143.0,380,241,6
144.0,380,236,12
145.0,380,237,30
146.0,380,226,128
147.0,380,238,183
148.0,380,253,43
149.0,380,236,5
150.0,380,234,5
151.0,380,222,3
152.0,380,235,2
153.0,380,226,1
154.0,380,244,3
155.0,380,229,1
156.0,380,236,4
157.0,380,235,2
158.0,380,241,4
159.0,380,234,1
160.0,380,225,2
161.0,380,238,1
162.0,380,218,2
163.0,380,252,3
164.0,380,227,2
165.0,380,231,0
166.0,380,249,2
167.0,380,255,2
168.0,380,226,1
169.0,380,225,1
170.0,380,232,3
171.0,380,241,2
172.0,380,250,1
173.0,380,243,4
