Parameter,Image1,Image2,Image3
-1.0,2254,1058,562
0.0,2254,1074,817
1.0,616,277,15
2.0,616,286,11
3.0,616,301,53
4.0,616,306,52
5.0,616,289,9
6.0,616,290,16
7.0,616,281,8
8.0,616,293,25
9.0,616,276,42
10.0,616,299,13
11.0,616,269,8
12.0,616,282,16
13.0,616,291,27
14.0,616,285,30
15.0,616,267,13
16.0,616,280,5
17.0,616,304,13
18.0,616,297,11
19.0,616,289,15
20.0,616,272,12
21.0,616,284,4
22.0,616,289,4
23.0,616,286,9
24.0,616,279,9
25.0,616,276,8
26.0,616,280,9
27.0,616,273,4
28.0,616,274,5
29.0,616,267,5
30.0,616,277,9
31.0,616,266,6
32.0,616,302,5
33.0,616,296,7
34.0,616,267,7
35.0,616,312,9
36.0,616,288,10
37.0,616,294,5
38.0,616,303,4
39.0,616,286,12
40.0,616,281,8
41.0,616,279,5
42.0,616,286,26
43.0,616,294,15
44.0,616,284,59
45.0,616,277,62
46.0,616,287,8
47.0,616,272,11
48.0,616,291,18
49.0,616,291,45
50.0,616,295,54
51.0,616,310,17
52.0,616,294,12
53.0,616,298,18
54.0,616,276,35
55.0,616,277,36
56.0,616,295,18
57.0,616,282,11
58.0,616,288,16
59.0,616,319,30
60.0,616,288,33
61.0,616,294,14
62.0,616,279,7
63.0,616,289,17
64.0,616,279,23
65.0,616,298,24
66.0,616,279,16
67.0,616,294,13
68.0,616,301,9
69.0,616,307,18
70.0,616,295,24
71.0,616,273,13
72.0,616,284,13
73.0,616,274,13
74.0,616,275,10
75.0,616,304,14
76.0,616,289,16
77.0,616,294,5
78.0,616,323,14
79.0,616,299,3
80.0,616,286,9
81.0,616,307,9
82.0,616,264,9
