Parameter,Image1,Image2,Image3
-1.0,846,373,213
0.0,846,352,301
1.0,282,119,4
2.0,282,123,6
3.0,282,130,7
4.0,282,127,10
5.0,282,129,25
6.0,282,136,24
7.0,282,124,6
8.0,282,131,7
9.0,282,125,7
10.0,282,127,10
11.0,282,122,23
12.0,282,121,14
13.0,282,133,5
14.0,282,124,4
15.0,282,139,4
16.0,282,149,7
17.0,282,139,9
18.0,282,130,19
19.0,282,127,0
20.0,282,140,4
21.0,282,140,4
22.0,282,137,6
23.0,282,137,6
24.0,282,111,3
25.0,282,137,4
26.0,282,133,6
27.0,282,120,5
28.0,282,129,3
29.0,282,124,4
30.0,282,134,9
31.0,282,123,2
32.0,282,135,9
33.0,282,129,4
34.0,282,124,6
35.0,282,129,2
36.0,282,113,2
37.0,282,139,4
38.0,282,136,8
39.0,282,133,9
40.0,282,124,4
41.0,282,131,4
42.0,282,143,2
43.0,282,131,3
44.0,282,125,8
45.0,282,133,7
46.0,282,126,3
47.0,282,142,2
48.0,282,130,3
49.0,282,133,4
50.0,282,127,7
51.0,282,137,6
52.0,282,141,14
53.0,282,125,8
54.0,282,119,10
55.0,282,122,10
56.0,282,144,43
57.0,282,131,27
58.0,282,124,13
59.0,282,112,9
60.0,282,130,4
61.0,282,137,18
62.0,282,122,21
63.0,282,132,23
64.0,282,134,9
65.0,282,135,4
66.0,282,122,13
67.0,282,124,6
68.0,282,122,21
69.0,282,117,21
70.0,282,120,8
71.0,282,118,8
72.0,282,137,5
73.0,282,130,6
74.0,282,143,10
75.0,282,122,7
76.0,282,130,7
77.0,282,118,11
78.0,282,133,6
79.0,282,109,4
80.0,282,128,8
81.0,282,138,6
82.0,282,134,4
83.0,282,121,7
84.0,282,119,4
85.0,282,131,7
86.0,282,122,4
87.0,282,124,6
88.0,282,142,8
89.0,282,140,18
90.0,282,141,11
91.0,282,149,2
92.0,282,128,6
93.0,282,127,2
94.0,282,124,5
95.0,282,139,13
96.0,282,122,12
97.0,282,110,8
98.0,282,127,6
99.0,282,132,2
100.0,282,131,6
101.0,282,121,6
102.0,282,145,8
