Parameter,Image1,Image2,Image3
-1.0,434,196,105
0.0,434,192,142
1.0,434,189,14
2.0,434,213,8
3.0,434,213,42
4.0,434,218,36
5.0,434,203,7
6.0,434,200,13
7.0,434,196,6
8.0,434,191,21
9.0,434,193,27
10.0,434,220,11
11.0,434,193,4
12.0,434,205,12
13.0,434,197,21
14.0,434,199,17
15.0,434,183,11
16.0,434,199,4
17.0,434,218,9
18.0,434,196,7
19.0,434,199,10
20.0,434,189,5
21.0,434,197,3
22.0,434,205,3
23.0,434,204,4
24.0,434,187,5
25.0,434,193,4
26.0,434,200,5
27.0,434,193,3
28.0,434,192,5
29.0,434,192,5
30.0,434,186,6
31.0,434,195,4
32.0,434,212,3
33.0,434,201,6
34.0,434,195,6
35.0,434,227,6
36.0,434,193,3
37.0,434,209,2
38.0,434,217,3
39.0,434,199,10
40.0,434,195,4
41.0,434,205,5
42.0,434,197,15
43.0,434,196,12
44.0,434,203,49
45.0,434,186,37
46.0,434,197,6
47.0,434,197,9
48.0,434,198,14
49.0,434,200,35
50.0,434,208,31
51.0,434,217,9
52.0,434,204,10
53.0,434,224,13
54.0,434,196,27
55.0,434,192,29
56.0,434,210,12
57.0,434,199,10
58.0,434,201,12
59.0,434,220,24
60.0,434,194,16
61.0,434,206,6
62.0,434,200,5
63.0,434,203,11
64.0,434,188,11
65.0,434,203,13
66.0,434,195,11
67.0,434,211,8
68.0,434,208,4
69.0,434,214,11
70.0,434,215,16
71.0,434,201,9
72.0,434,181,8
73.0,434,193,10
74.0,434,190,5
75.0,434,210,8
76.0,434,206,8
77.0,434,218,3
78.0,434,225,8
79.0,434,208,3
80.0,434,209,7
81.0,434,208,4
82.0,434,176,6
