Parameter,Image1,Image2,Image3
-1.858e7,1220,560,5
-1.8575e7,1220,583,25
-1.8569999999999996e7,1220,499,24
-1.8564999999999996e7,1220,574,38
-1.856e7,1220,558,59
-1.8555e7,1220,572,57
-1.8549999999999996e7,1220,533,44
-1.8545e7,1220,553,34
-1.854e7,1220,534,20
-1.8535e7,1220,559,33
-1.8529999999999996e7,1220,550,42
-1.8525e7,1220,532,82
-1.852e7,1220,570,129
-1.8515e7,1220,587,174
-1.8509999999999996e7,1220,543,196
-1.8505e7,1220,562,212
-1.85e7,1220,567,203
-1.8494999999999996e7,1220,582,178
-1.849e7,1220,561,115
-1.8485e7,1220,562,67
-1.848e7,1220,547,41
-1.8474999999999996e7,1220,558,32
-1.847e7,1220,549,25
-1.8465e7,1220,577,42
-1.846e7,1220,568,35
-1.8455e7,1220,551,61
-1.845e7,1220,556,47
