Parameter,Image1,Image2,Image3
-1.858e7,896,411,5
-1.8575e7,896,376,14
-1.8569999999999996e7,896,406,17
-1.8564999999999996e7,896,414,32
-1.856e7,896,408,24
-1.8555e7,896,409,29
-1.8549999999999996e7,896,406,13
-1.8545e7,896,405,18
-1.854e7,896,397,9
-1.8535e7,896,396,24
-1.8529999999999996e7,896,389,34
-1.8525e7,896,384,58
-1.852e7,896,418,80
-1.8515e7,896,386,112
-1.8509999999999996e7,896,409,124
-1.8505e7,896,395,115
-1.85e7,896,397,105
-1.8494999999999996e7,896,393,93
-1.849e7,896,394,67
-1.8485e7,896,405,32
-1.848e7,896,407,10
-1.8474999999999996e7,896,393,12
-1.847e7,896,394,17
-1.8465e7,896,393,15
-1.846e7,896,402,29
-1.8455e7,896,397,28
-1.845e7,896,391,19
