Parameter,Image1,Image2,Image3
1.0,504,279,12
2.0,504,269,17
3.0,504,285,13
4.0,504,281,28
5.0,504,266,88
6.0,504,267,151
7.0,504,269,103
8.0,504,272,66
9.0,504,270,14
10.0,504,240,25
11.0,504,259,22
12.0,504,247,7
13.0,1008,526,9
14.0,1008,517,18
15.0,1008,524,8
16.0,1008,506,16
17.0,1008,552,21
18.0,1008,553,14
19.0,1008,535,52
20.0,1008,522,55
21.0,1008,544,31
22.0,1008,523,23
23.0,1008,535,12
24.0,1008,526,16
25.0,1008,519,10
26.0,1008,544,10
27.0,1008,528,14
28.0,1008,523,2
29.0,1008,541,7
30.0,1008,534,7
31.0,1008,555,4
32.0,1008,539,3
33.0,1008,521,7
34.0,1008,549,11
35.0,1008,493,19
36.0,1008,542,11
37.0,1008,524,22
38.0,1008,557,17
39.0,1008,568,11
40.0,1008,520,10
41.0,1008,535,4
42.0,504,280,16
43.0,504,246,9
44.0,504,281,15
45.0,504,254,20
46.0,504,258,41
47.0,504,268,115
48.0,504,264,146
49.0,504,267,105
50.0,504,279,41
51.0,504,252,12
52.0,504,269,10
53.0,1008,508,12
54.0,1008,507,14
55.0,1008,536,6
56.0,1008,522,16
57.0,1008,505,23
58.0,1008,559,43
59.0,1008,535,35
60.0,1008,527,17
61.0,1008,550,15
62.0,1008,516,14
63.0,1008,537,6
64.0,1008,515,11
65.0,1008,564,7
66.0,1008,523,11
67.0,1008,525,7
68.0,1008,534,7
69.0,1008,549,12
70.0,1008,540,9
71.0,1008,538,12
72.0,1008,534,4
73.0,1008,539,2
74.0,1008,545,6
75.0,1008,505,6
76.0,1008,555,6
77.0,1008,536,6
78.0,1008,504,6
79.0,1008,564,6
80.0,1008,552,7
81.0,1008,542,13
82.0,1008,530,12
83.0,1008,529,7
84.0,1008,541,8
85.0,1008,532,7
86.0,1008,532,5
87.0,504,260,19
88.0,504,281,26
89.0,504,268,16
90.0,504,264,28
91.0,504,262,98
92.0,504,271,191
93.0,504,269,168
94.0,504,245,73
95.0,504,260,25
96.0,504,266,27
97.0,504,263,28
98.0,504,267,11
99.0,504,258,4
100.0,504,238,14
101.0,504,265,4
102.0,504,267,15
103.0,504,260,22
104.0,504,275,24
105.0,504,277,106
106.0,504,275,150
107.0,504,270,62
108.0,504,275,12
109.0,504,242,15
110.0,504,284,14
111.0,504,273,9
112.0,504,269,5
113.0,504,272,8
114.0,504,267,5
115.0,504,258,3
116.0,504,272,4
117.0,504,243,2
118.0,504,252,5
119.0,504,266,10
120.0,504,276,10
121.0,504,257,13
122.0,504,260,25
123.0,504,268,41
124.0,504,281,23
125.0,504,268,11
126.0,504,268,7
127.0,504,277,6
128.0,504,258,18
129.0,504,255,28
130.0,504,270,38
131.0,504,274,22
132.0,504,246,58
133.0,504,289,171
134.0,504,260,183
135.0,504,263,114
136.0,504,273,35
137.0,504,264,17
138.0,504,257,25
139.0,504,262,9
140.0,504,275,14
141.0,504,271,22
142.0,504,247,17
143.0,504,250,52
144.0,504,257,113
145.0,504,251,93
146.0,504,274,30
147.0,504,266,17
148.0,504,265,12
149.0,504,264,8
150.0,504,275,12
151.0,504,268,6
152.0,504,260,3
153.0,504,267,7
154.0,504,263,6
155.0,504,271,1
156.0,504,262,4
157.0,504,250,4
158.0,504,262,3
159.0,504,271,4
160.0,504,293,5
161.0,504,276,7
162.0,504,243,5
163.0,504,277,7
164.0,504,270,4
165.0,504,279,12
166.0,504,277,7
167.0,504,278,22
168.0,504,277,22
169.0,504,265,11
170.0,504,275,8
171.0,504,271,5
172.0,504,265,2
