Parameter,Image1,Image2,Image3
-1.86e7,220,112,6
-1.8598000000000004e7,220,107,1
-1.8596e7,220,116,3
-1.8594e7,220,127,7
-1.8592000000000004e7,220,122,5
-1.859e7,220,111,5
-1.8588e7,220,112,2
-1.8586000000000004e7,220,116,2
-1.8584e7,220,120,8
-1.8582e7,220,121,12
-1.858e7,436,223,11
-1.8578e7,436,244,10
-1.8576e7,436,237,11
-1.8574e7,436,227,31
-1.8572000000000004e7,436,210,57
-1.857e7,436,251,101
-1.8568e7,436,241,116
-1.8566000000000004e7,436,245,142
-1.8564e7,436,233,128
-1.8562e7,436,255,86
-1.8560000000000004e7,436,249,69
-1.8558e7,436,230,38
-1.8556e7,436,224,16
-1.8554000000000004e7,436,247,23
-1.8552e7,436,242,12
-1.855e7,436,230,11
-1.8548e7,220,115,9
-1.8546e7,220,116,10
-1.8544e7,220,126,4
-1.8542e7,220,127,6
-1.854e7,220,122,8
-1.8538e7,220,116,8
-1.8536e7,220,107,5
-1.8534e7,220,116,2
-1.8532e7,220,113,5
-1.853e7,220,113,13
-1.8528e7,220,112,8
-1.8526e7,220,122,12
-1.8524e7,220,119,11
-1.8522000000000004e7,220,124,2
-1.852e7,220,123,4
-1.8518e7,220,117,5
-1.8516e7,220,115,17
-1.8514e7,220,112,33
-1.8512e7,220,113,36
-1.851e7,220,122,26
-1.8508e7,220,111,24
-1.8506e7,220,105,8
-1.8504e7,220,114,18
-1.8502e7,220,118,18
-1.85e7,220,114,19
-1.8498e7,220,119,21
-1.8496e7,220,110,18
-1.8494e7,220,131,16
-1.8492e7,220,128,7
-1.849e7,220,104,11
-1.8488e7,220,124,23
-1.8486e7,220,129,30
-1.8484e7,220,116,22
-1.8482e7,220,125,20
-1.848e7,220,134,13
-1.8477999999999996e7,220,118,7
-1.8476e7,220,118,2
-1.8474e7,220,107,4
-1.8472e7,220,117,9
-1.847e7,220,120,13
-1.8468e7,220,123,10
-1.8466e7,220,127,9
-1.8464e7,220,131,1
-1.8462e7,220,128,5
-1.846e7,220,116,2
-1.8458e7,220,119,6
-1.8456e7,220,113,3
-1.8454e7,220,115,6
-1.8452e7,220,116,4
-1.845e7,220,122,3
-1.8448e7,220,123,6
-1.8445999999999996e7,436,239,14
-1.8444e7,436,249,12
-1.8442e7,436,235,10
-1.8439999999999996e7,436,239,27
-1.8438e7,436,231,19
-1.8436e7,436,238,40
-1.8433999999999996e7,436,250,48
-1.8432e7,436,224,36
-1.843e7,436,220,32
-1.8427999999999996e7,436,226,27
-1.8426e7,436,237,16
-1.8424e7,436,221,8
-1.8422e7,436,223,9
-1.842e7,436,230,5
-1.8418e7,220,112,6
-1.8416e7,220,129,3
-1.8413999999999996e7,220,121,6
-1.8412e7,220,123,4
-1.841e7,220,121,3
-1.8407999999999996e7,220,120,0
-1.8406e7,220,123,3
-1.8404e7,220,123,3
-1.8401999999999996e7,220,121,1
-1.84e7,220,115,4
