Parameter,Image1,Image2,Image3
-1.84e7,444,204,10
-1.8389999999999996e7,444,189,6
-1.838e7,444,198,17
-1.8369999999999996e7,444,186,5
-1.836e7,444,199,57
-1.8349999999999996e7,444,210,36
-1.834e7,444,201,11
-1.833e7,444,188,12
-1.832e7,444,197,5
-1.831e7,444,192,9
-1.8299999999999996e7,444,213,49
-1.829e7,444,212,41
-1.8279999999999996e7,444,208,13
-1.827e7,444,197,13
-1.8259999999999996e7,444,219,7
-1.825e7,444,203,2
-1.824e7,444,190,27
-1.823e7,444,212,40
-1.822e7,444,191,9
-1.8209999999999996e7,444,194,16
-1.82e7,444,203,4
-1.8189999999999996e7,444,198,3
-1.818e7,444,207,26
-1.817e7,444,206,28
-1.816e7,444,219,12
-1.815e7,444,203,15
-1.814e7,444,186,6
-1.813e7,444,190,12
-1.8119999999999996e7,444,221,15
-1.811e7,444,195,21
-1.8099999999999996e7,444,191,12
-1.809e7,444,200,15
-1.808e7,444,217,7
-1.807e7,444,198,12
-1.806e7,444,211,8
-1.8049999999999996e7,444,212,11
-1.804e7,444,215,7
-1.8029999999999996e7,444,210,12
-1.802e7,444,203,5
-1.8009999999999996e7,444,207,3
-1.8e7,444,211,14
-1.799e7,444,184,7
-1.798e7,444,217,11
-1.797e7,444,206,6
-1.7959999999999996e7,444,174,13
-1.795e7,444,208,7
-1.7939999999999996e7,444,194,5
-1.793e7,444,211,7
-1.792e7,444,199,4
-1.791e7,444,201,4
-1.79e7,444,185,5
-1.789e7,444,208,5
-1.788e7,444,206,4
-1.7869999999999996e7,444,192,3
-1.786e7,444,207,6
-1.7849999999999996e7,444,220,9
-1.784e7,444,209,9
-1.783e7,444,213,6
-1.782e7,444,192,2
-1.781e7,444,187,1
-1.78e7,444,202,6
-1.779e7,444,189,3
-1.7779999999999996e7,444,204,7
-1.777e7,444,204,5
-1.7759999999999996e7,444,220,4
-1.775e7,444,197,4
-1.774e7,444,205,3
-1.773e7,444,208,3
-1.772e7,444,215,7
-1.771e7,444,208,2
-1.77e7,444,187,3
1.77e7,444,174,7
1.771e7,444,216,12
1.772e7,444,192,6
1.773e7,444,216,6
1.774e7,444,202,12
1.775e7,444,205,11
1.776e7,444,202,13
1.777e7,444,196,20
1.778e7,444,193,13
1.779e7,444,212,11
1.78e7,444,217,8
1.781e7,444,204,8
1.782e7,444,197,7
1.783e7,444,225,16
1.784e7,444,208,10
1.785e7,444,211,9
1.786e7,444,201,10
1.787e7,444,195,1
1.808e7,444,219,17
1.809e7,444,199,18
1.8099999999999996e7,444,227,33
1.811e7,444,196,27
1.8119999999999996e7,444,215,23
1.813e7,444,208,21
1.8139999999999996e7,444,233,34
1.815e7,444,226,32
1.8159999999999996e7,444,191,41
1.817e7,444,219,32
1.818e7,444,204,40
1.8189999999999996e7,444,186,23
1.82e7,444,210,25
1.8209999999999996e7,444,225,36
1.822e7,444,209,32
1.8229999999999996e7,444,202,18
1.824e7,444,202,15
