Parameter,Image1,Image2,Image3
0.0,204,106,1
6.0e-6,204,97,10
1.2e-5,204,105,19
1.8e-5,204,117,46
2.4e-5,204,101,50
2.9999999999999997e-5,204,107,63
3.6e-5,204,111,62
4.2e-5,204,93,47
4.8e-5,204,96,43
5.4e-5,204,93,21
5.9999999999999995e-5,204,104,14
6.599999999999999e-5,204,97,20
7.2e-5,204,97,25
7.8e-5,204,113,34
8.4e-5,204,93,38
8.999999999999999e-5,204,96,45
9.6e-5,204,94,40
0.000102,204,96,40
0.000108,204,108,29
0.00011399999999999999,204,104,28
0.00011999999999999999,204,91,20
0.000126,204,102,25
0.00013199999999999998,204,103,27
0.000138,204,99,33
0.000144,204,103,37
0.00015,204,101,29
