Parameter,Image1,Image2,Image3
0.0,482,245,4
1.0,482,242,71
2.0,482,226,100
3.0,482,264,108
4.0,482,224,76
5.0,482,255,56
6.0,482,248,81
7.0,482,225,98
8.0,482,244,69
9.0,482,249,85
10.0,482,242,87
11.0,482,251,92
12.0,482,238,78
13.0,482,215,69
14.0,482,248,80
15.0,482,254,98
16.0,482,258,85
17.0,482,241,67
18.0,482,263,84
19.0,482,235,77
20.0,482,245,95
21.0,482,252,96
22.0,482,243,76
23.0,482,235,87
24.0,482,245,73
25.0,482,232,77
26.0,482,238,8
27.0,482,247,34
28.0,482,254,52
29.0,482,236,60
30.0,482,252,49
31.0,482,260,40
32.0,482,247,35
33.0,482,232,42
34.0,482,272,48
35.0,482,257,53
36.0,482,220,45
37.0,482,230,48
38.0,482,236,42
39.0,482,248,45
40.0,482,237,29
41.0,482,252,36
42.0,482,253,45
43.0,482,242,47
44.0,482,244,53
45.0,482,263,38
46.0,482,239,42
47.0,482,250,46
48.0,482,242,42
49.0,482,258,47
50.0,482,258,45
51.0,482,231,36
52.0,482,237,3
53.0,482,235,9
54.0,482,211,8
55.0,482,233,10
56.0,482,243,11
57.0,482,231,15
58.0,482,247,15
59.0,482,232,11
60.0,482,242,10
61.0,482,234,18
62.0,482,226,17
63.0,482,250,15
64.0,482,241,19
65.0,482,252,18
66.0,482,244,10
67.0,482,252,12
68.0,482,234,13
69.0,482,260,25
70.0,482,246,20
71.0,482,233,15
72.0,482,249,17
73.0,482,237,21
74.0,482,240,18
75.0,482,237,21
76.0,482,235,20
77.0,482,245,20
78.0,482,252,1
79.0,482,227,91
80.0,482,237,131
81.0,482,243,77
82.0,482,257,47
83.0,482,229,59
84.0,482,232,87
85.0,482,238,86
86.0,482,225,52
87.0,482,251,79
88.0,482,243,71
89.0,482,245,73
90.0,482,241,64
91.0,482,257,82
92.0,482,240,75
93.0,482,244,60
94.0,482,247,74
95.0,482,240,84
96.0,482,238,56
97.0,482,263,91
98.0,482,236,80
99.0,482,239,85
100.0,482,245,65
101.0,482,261,71
102.0,482,248,72
103.0,482,243,72
104.0,482,251,2
105.0,482,238,20
106.0,482,247,22
107.0,482,238,25
108.0,482,220,40
109.0,482,221,22
110.0,482,247,30
111.0,482,245,32
112.0,482,242,29
113.0,482,263,32
114.0,482,257,30
115.0,482,244,19
116.0,482,240,31
117.0,482,239,24
118.0,482,253,24
119.0,482,245,22
120.0,482,243,30
121.0,482,255,25
122.0,482,247,32
123.0,482,231,27
124.0,482,244,26
125.0,482,253,15
126.0,482,245,35
127.0,482,228,31
128.0,482,254,35
129.0,482,252,28
130.0,482,240,4
131.0,482,232,5
132.0,482,248,8
133.0,482,233,6
134.0,482,227,4
135.0,482,239,5
136.0,482,225,2
137.0,482,237,4
138.0,482,221,3
139.0,482,229,3
140.0,482,242,5
141.0,482,234,4
142.0,482,246,3
143.0,482,239,5
144.0,482,227,4
145.0,482,233,2
146.0,482,251,7
147.0,482,238,8
148.0,482,244,6
149.0,482,246,4
150.0,482,243,7
151.0,482,227,6
152.0,482,236,4
153.0,482,236,5
154.0,482,238,11
155.0,482,255,14
