Parameter,Image1,Image2,Image3
1.0,72,32,12
2.0,72,6,3
3.0,72,3,0
4.0,72,5,3
5.0,72,4,4
6.0,72,7,4
7.0,72,3,1
8.0,72,2,1
9.0,72,1,1
10.0,72,3,1
11.0,72,1,2
12.0,72,0,0
13.0,72,0,0
14.0,72,25,13
15.0,72,16,5
16.0,72,12,3
17.0,72,25,12
18.0,72,21,8
19.0,72,18,7
20.0,72,21,6
21.0,72,10,6
22.0,72,10,6
23.0,72,11,6
24.0,72,8,4
25.0,72,8,1
26.0,72,5,1
27.0,72,22,6
28.0,72,16,0
29.0,72,26,10
30.0,72,25,7
31.0,72,32,14
32.0,72,38,11
33.0,72,28,11
34.0,72,33,10
35.0,72,24,11
36.0,72,33,13
37.0,72,22,8
38.0,72,19,7
39.0,72,23,9
40.0,72,24,6
41.0,72,16,9
42.0,72,30,12
43.0,72,17,6
44.0,72,32,14
45.0,72,39,13
46.0,72,33,9
47.0,72,34,15
48.0,72,42,20
49.0,72,40,14
50.0,72,37,15
51.0,72,43,11
52.0,72,35,16
53.0,72,31,10
54.0,72,14,6
55.0,72,23,8
56.0,72,29,7
57.0,72,39,10
58.0,72,43,19
59.0,72,37,12
60.0,72,35,11
61.0,72,43,20
62.0,72,38,15
63.0,72,42,13
64.0,72,40,18
65.0,72,32,12
66.0,72,28,12
67.0,72,11,6
68.0,72,26,7
69.0,72,11,2
70.0,72,27,7
71.0,72,37,9
72.0,72,37,12
73.0,72,39,12
74.0,72,40,11
75.0,72,35,11
76.0,72,39,14
77.0,72,31,8
78.0,72,41,17
79.0,72,31,12
80.0,72,11,5
81.0,72,21,8
82.0,72,17,4
83.0,72,32,11
84.0,72,29,9
85.0,72,34,9
86.0,72,35,14
87.0,72,45,20
88.0,72,41,18
89.0,72,42,16
90.0,72,40,14
91.0,72,47,19
92.0,72,31,13
93.0,72,12,5
94.0,72,16,4
95.0,72,23,10
96.0,72,27,9
97.0,72,36,18
98.0,72,32,8
99.0,72,33,7
100.0,72,42,10
101.0,72,36,10
102.0,72,41,14
103.0,72,44,11
104.0,72,36,17
105.0,72,26,13
106.0,72,6,3
107.0,72,9,3
108.0,72,20,7
109.0,72,25,11
110.0,72,25,12
111.0,72,36,14
112.0,72,35,18
113.0,72,29,6
114.0,72,38,11
115.0,72,38,16
116.0,72,41,13
117.0,72,40,18
118.0,72,30,12
119.0,72,12,6
120.0,72,5,2
121.0,72,8,4
122.0,72,19,7
123.0,72,21,11
124.0,72,25,6
125.0,72,30,15
126.0,72,37,17
127.0,72,41,14
128.0,72,32,11
129.0,72,39,12
130.0,72,31,14
131.0,72,29,16
132.0,72,12,4
133.0,72,4,2
134.0,72,10,3
135.0,72,14,2
136.0,72,14,5
137.0,72,22,8
138.0,72,27,8
139.0,72,37,14
140.0,72,41,13
141.0,72,31,11
142.0,72,44,14
143.0,72,37,19
