Parameter,Image1,Image2,Image3
1.0,508,188,62
2.0,508,198,34
3.0,508,205,33
4.0,508,201,40
5.0,508,201,50
6.0,508,178,38
7.0,508,195,49
8.0,508,202,46
9.0,508,202,44
10.0,508,214,51
11.0,508,193,41
12.0,508,183,36
13.0,508,207,32
14.0,508,195,61
15.0,508,185,40
16.0,508,192,47
17.0,508,205,49
18.0,508,199,56
19.0,508,204,57
20.0,508,218,48
21.0,508,179,53
22.0,508,213,72
23.0,508,213,65
24.0,508,196,54
25.0,508,198,50
26.0,508,210,61
27.0,508,190,59
28.0,508,211,45
29.0,508,199,38
30.0,508,186,51
31.0,508,205,56
32.0,508,209,66
33.0,508,203,73
34.0,508,209,66
35.0,508,171,49
36.0,508,205,70
37.0,508,197,63
38.0,508,208,70
39.0,508,209,60
40.0,508,208,71
41.0,508,199,54
42.0,508,197,54
43.0,508,202,59
44.0,508,209,59
45.0,508,213,57
46.0,508,208,76
47.0,508,236,88
48.0,508,215,69
49.0,508,181,73
50.0,508,194,73
51.0,508,191,68
52.0,508,181,63
53.0,508,208,66
54.0,508,204,52
55.0,508,205,45
56.0,508,205,53
57.0,508,190,51
58.0,508,204,70
59.0,508,202,76
60.0,508,229,89
61.0,508,195,64
62.0,508,199,86
63.0,508,218,92
64.0,508,188,61
65.0,508,180,65
66.0,508,213,65
67.0,508,190,43
68.0,508,215,45
69.0,508,204,48
70.0,508,196,58
71.0,508,185,66
72.0,508,216,76
73.0,508,195,61
74.0,508,213,77
75.0,508,194,72
76.0,508,198,77
77.0,508,201,79
78.0,508,197,69
79.0,508,200,59
80.0,508,183,46
81.0,508,207,39
82.0,508,203,53
83.0,508,201,55
84.0,508,203,71
85.0,508,195,55
86.0,508,206,74
87.0,508,196,78
88.0,508,228,86
89.0,508,190,75
90.0,508,199,84
91.0,508,204,82
92.0,508,201,50
93.0,508,195,46
94.0,508,211,48
95.0,508,189,58
96.0,508,209,52
97.0,508,197,58
98.0,508,183,53
99.0,508,199,58
100.0,508,190,67
101.0,508,193,76
102.0,508,202,83
103.0,508,205,75
104.0,508,220,84
105.0,508,206,54
106.0,508,195,38
107.0,508,203,52
108.0,508,192,54
109.0,508,205,53
110.0,508,190,62
111.0,508,213,66
112.0,508,197,64
113.0,508,197,62
114.0,508,215,80
115.0,508,203,80
116.0,508,200,77
117.0,508,230,99
118.0,508,206,49
119.0,508,209,43
120.0,508,183,38
121.0,508,222,45
122.0,508,198,39
123.0,508,189,45
124.0,508,217,52
125.0,508,184,55
126.0,508,191,60
127.0,508,206,71
128.0,508,214,82
129.0,508,182,61
130.0,508,201,73
131.0,508,190,54
132.0,508,206,53
133.0,508,191,40
134.0,508,214,49
135.0,508,204,41
136.0,508,215,50
137.0,508,217,62
138.0,508,185,53
139.0,508,202,61
140.0,508,199,65
141.0,508,187,62
142.0,508,190,65
143.0,508,206,69
