phase,avg1,avgunc1,load1,loadunc1,avg2,avgunc2,load2,loadunc2
-120,2987,28,0.3957,0.0122,2862,27,0.3370,0.0118
-112,3293,35,0.4600,0.0133,3181,34,0.4158,0.0132
-104,3512,41,0.5017,0.0144,3387,40,0.4625,0.0144
-96,3589,14,0.5229,0.0049,3470,14,0.4815,0.0049
-88,3698,47,0.5390,0.0158,3547,46,0.4920,0.0158
-80,3727,49,0.5210,0.0158,3608,49,0.4870,0.0158
-72,3933,52,0.5649,0.0157,3802,52,0.5160,0.0158
-64,4015,45,0.5312,0.0125,3884,45,0.4913,0.0125
-60,3821,30,0.5581,0.0097,3738,31,0.5308,0.0098
-56,4007,60,0.5130,0.0158,3934,59,0.4870,0.0158
-48,3864,58,0.4930,0.0158,3692,57,0.4501,0.0157
-40,3491,47,0.4184,0.0142,3301,47,0.3542,0.0138
-32,3073,37,0.3132,0.0116,2768,32,0.2083,0.0101
