Parameter,Image1,Image2,Image3
1.0,104,47,2
2.0,104,57,20
3.0,104,52,19
4.0,104,53,24
5.0,104,56,25
6.0,104,55,16
7.0,104,55,16
8.0,104,51,14
9.0,104,54,12
10.0,104,58,6
11.0,104,51,6
12.0,104,59,11
13.0,104,55,6
14.0,104,49,3
15.0,104,57,9
16.0,104,56,15
17.0,104,53,11
18.0,104,57,18
19.0,104,53,19
20.0,104,55,19
21.0,104,57,17
22.0,104,51,13
23.0,104,49,15
24.0,104,59,8
25.0,104,45,5
26.0,104,58,1
27.0,104,54,4
28.0,104,46,7
29.0,104,57,9
30.0,104,46,6
31.0,104,59,15
32.0,104,57,16
33.0,104,52,19
34.0,104,63,19
35.0,104,60,12
36.0,104,53,14
37.0,104,54,6
38.0,104,56,6
39.0,104,57,2
40.0,104,63,4
41.0,104,57,3
42.0,104,69,7
43.0,104,57,6
44.0,104,57,7
45.0,104,55,9
46.0,104,45,9
47.0,104,51,11
48.0,104,51,9
49.0,104,51,6
50.0,104,51,6
51.0,104,50,4
52.0,104,53,2
53.0,104,51,2
54.0,104,39,2
55.0,104,43,3
56.0,104,45,6
57.0,104,55,6
58.0,104,50,3
59.0,104,46,2
60.0,104,56,6
61.0,104,56,4
62.0,104,53,5
63.0,104,46,10
64.0,104,43,11
65.0,104,53,10
66.0,104,50,9
67.0,104,52,13
68.0,104,58,12
69.0,104,52,7
70.0,104,58,9
71.0,104,59,8
72.0,104,58,2
73.0,104,46,2
74.0,104,53,8
75.0,104,48,6
76.0,104,58,16
77.0,104,60,16
78.0,104,48,14
79.0,104,52,10
80.0,104,49,14
81.0,104,55,9
82.0,104,57,18
83.0,104,52,11
84.0,104,56,13
85.0,104,55,8
86.0,104,48,8
87.0,104,52,7
88.0,104,53,3
89.0,104,52,5
90.0,104,57,5
91.0,104,56,6
92.0,104,60,9
93.0,104,54,9
94.0,104,58,9
95.0,104,61,7
96.0,104,56,3
97.0,104,54,16
98.0,104,53,2
99.0,104,58,3
100.0,104,64,9
101.0,104,48,4
102.0,104,65,3
103.0,104,57,1
104.0,104,56,5
105.0,104,53,2
106.0,104,55,3
107.0,104,60,5
108.0,104,51,5
109.0,104,59,2
110.0,104,54,4
111.0,104,45,2
112.0,104,58,6
113.0,104,59,0
114.0,104,51,2
115.0,104,57,2
116.0,104,52,2
117.0,104,53,5
118.0,104,50,3
119.0,104,57,4
120.0,104,57,3
121.0,104,49,5
122.0,104,50,1
