Parameter,Image1,Image2,Image3
1.0,440,239,3
2.0,440,223,5
3.0,440,202,3
4.0,440,247,5
5.0,440,251,4
6.0,440,259,5
7.0,440,252,2
8.0,440,247,5
9.0,440,252,21
10.0,440,235,33
11.0,440,232,36
12.0,440,241,31
13.0,440,220,20
14.0,440,252,7
15.0,440,241,5
16.0,440,247,3
17.0,440,233,3
18.0,440,251,1
19.0,440,231,2
20.0,440,238,4
21.0,440,240,4
22.0,440,243,2
23.0,440,250,6
24.0,440,231,1
25.0,440,242,4
26.0,440,220,2
27.0,440,229,5
28.0,440,244,6
29.0,440,240,12
30.0,440,244,11
31.0,440,240,23
32.0,440,235,30
33.0,440,223,24
34.0,440,263,27
35.0,440,250,12
36.0,440,249,4
37.0,440,224,1
38.0,440,225,2
39.0,440,222,4
40.0,440,247,5
41.0,440,220,2
42.0,440,235,1
