Parameter,Image1,Image2,Image3
1.0,954,500,1
2.0,954,505,24
3.0,954,472,47
4.0,954,466,76
5.0,954,488,144
6.0,954,489,153
7.0,954,484,170
8.0,954,481,180
9.0,954,461,22
10.0,954,492,46
11.0,954,504,113
12.0,954,497,116
13.0,954,458,150
14.0,954,479,160
15.0,954,476,168
16.0,954,483,65
17.0,954,501,118
18.0,954,528,200
19.0,954,496,183
20.0,954,495,189
21.0,954,492,203
22.0,954,468,164
23.0,954,488,10
24.0,954,458,16
25.0,954,520,48
26.0,954,494,63
27.0,954,474,115
28.0,954,492,147
29.0,954,487,150
30.0,954,491,193
31.0,954,479,29
32.0,954,446,52
33.0,954,510,117
34.0,954,478,174
35.0,954,453,204
36.0,954,478,228
37.0,954,446,225
