Parameter,Image1,Image2,Image3
-1.855e7,284,158,12
-1.854e7,284,162,53
-1.853e7,284,170,45
-1.852e7,284,154,13
-1.851e7,284,152,8
-1.85e7,284,147,16
-1.8490000000000004e7,284,146,11
-1.848e7,284,163,55
-1.8470000000000004e7,284,153,27
-1.846e7,284,159,13
-1.845e7,284,154,6
-1.844e7,284,154,16
-1.843e7,284,162,5
-1.842e7,284,151,45
-1.841e7,284,166,45
-1.8400000000000004e7,284,159,7
-1.839e7,284,147,6
-1.838e7,284,163,9
-1.837e7,284,159,7
-1.836e7,284,161,44
-1.835e7,284,165,46
-1.834e7,284,149,8
-1.833e7,284,146,7
-1.832e7,284,151,5
-1.8310000000000004e7,284,165,8
-1.83e7,284,160,28
-1.829e7,284,145,29
-1.828e7,284,157,8
-1.827e7,284,160,9
-1.826e7,284,141,2
-1.825e7,284,161,8
-1.8240000000000004e7,284,155,16
-1.823e7,284,166,31
-1.8220000000000004e7,284,149,13
-1.821e7,284,163,8
-1.82e7,284,154,3
-1.819e7,284,149,2
-1.818e7,284,157,18
-1.817e7,284,152,21
-1.816e7,284,155,13
-1.8150000000000004e7,284,161,5
-1.814e7,284,140,4
-1.813e7,284,157,5
-1.812e7,284,153,10
-1.811e7,284,157,14
-1.81e7,284,165,6
-1.809e7,284,173,6
-1.808e7,284,142,2
-1.807e7,284,151,6
-1.8060000000000004e7,284,133,4
-1.805e7,284,160,8
-1.804e7,284,148,5
-1.803e7,284,169,9
-1.802e7,284,162,3
-1.801e7,284,142,4
-1.8e7,284,147,5
-1.7990000000000004e7,284,163,5
-1.798e7,284,153,3
-1.7970000000000004e7,284,145,8
-1.796e7,284,150,6
-1.795e7,284,157,5
-1.794e7,284,157,5
-1.793e7,284,161,2
-1.792e7,284,161,5
-1.791e7,284,166,5
-1.7900000000000004e7,284,166,5
-1.789e7,284,153,3
-1.788e7,284,161,3
-1.787e7,284,145,1
-1.786e7,284,154,4
-1.785e7,284,151,2
-1.784e7,284,170,5
-1.783e7,284,154,2
-1.782e7,284,154,3
-1.7810000000000004e7,284,158,3
-1.78e7,284,147,4
