Parameter,Image1,Image2,Image3
-1.855e7,218,111,2
-1.8545e7,218,117,1
-1.854e7,218,119,2
-1.8535e7,218,109,13
-1.853e7,218,110,20
-1.8525000000000004e7,218,115,10
-1.852e7,218,105,0
-1.8515e7,218,110,2
-1.851e7,218,114,1
-1.8505e7,218,115,3
-1.85e7,218,114,3
-1.8495e7,218,122,3
-1.849e7,218,107,2
-1.8485e7,218,103,12
-1.848e7,218,115,38
-1.8475e7,218,115,11
-1.847e7,218,118,2
-1.8465e7,218,125,3
-1.846e7,218,108,0
-1.8455e7,218,116,4
-1.845e7,218,122,0
-1.8445e7,218,111,1
-1.844e7,218,127,1
-1.8435e7,218,116,6
-1.843e7,218,113,7
-1.8425e7,218,102,6
-1.842e7,218,102,0
-1.8415e7,218,113,2
-1.841e7,218,119,1
-1.8405e7,218,111,1
-1.84e7,218,99,2
-1.8395e7,218,110,2
-1.839e7,218,92,1
-1.8384999999999996e7,218,126,5
-1.838e7,218,109,4
-1.8375e7,218,105,4
-1.8369999999999996e7,218,91,2
-1.8365e7,218,108,1
-1.836e7,218,125,1
-1.8355e7,218,113,2
-1.8349999999999996e7,218,111,1
-1.8345e7,218,126,0
