Parameter,Image1,Image2,Image3
-1.87e7,256,138,8
-1.8689999999999996e7,256,129,2
-1.868e7,256,127,4
-1.867e7,256,136,3
-1.866e7,256,133,5
-1.865e7,256,145,11
-1.864e7,256,132,7
-1.863e7,256,134,9
-1.862e7,256,132,15
-1.861e7,256,139,22
-1.8599999999999996e7,256,128,23
-1.859e7,256,135,16
-1.858e7,256,128,17
-1.857e7,256,132,30
-1.856e7,256,126,36
-1.855e7,256,129,49
-1.854e7,256,138,59
-1.853e7,256,128,38
-1.852e7,256,136,20
-1.8509999999999996e7,256,127,17
-1.85e7,256,125,20
-1.849e7,256,135,21
-1.848e7,256,121,20
-1.847e7,256,141,19
-1.846e7,256,134,8
-1.845e7,256,139,5
-1.844e7,256,128,6
-1.843e7,256,130,9
-1.842e7,256,131,6
-1.841e7,256,116,3
-1.84e7,256,124,4
-1.839e7,256,118,5
-1.838e7,256,137,6
-1.837e7,256,124,2
-1.836e7,256,130,7
-1.835e7,256,143,4
-1.834e7,256,121,6
-1.833e7,256,117,5
-1.832e7,256,139,6
-1.831e7,256,133,5
-1.83e7,256,150,6
-1.829e7,256,138,4
-1.828e7,256,136,8
-1.827e7,256,157,9
-1.826e7,256,135,10
-1.825e7,256,131,16
-1.824e7,256,136,11
-1.823e7,256,143,18
-1.822e7,256,136,14
-1.821e7,256,131,22
-1.82e7,256,135,30
-1.819e7,256,140,41
-1.818e7,256,118,42
-1.817e7,256,127,43
-1.816e7,256,137,28
-1.815e7,256,126,21
-1.814e7,256,128,18
-1.813e7,256,127,8
-1.812e7,256,126,12
-1.811e7,256,137,5
-1.81e7,256,130,7
-1.809e7,256,148,5
-1.808e7,256,140,9
-1.807e7,256,120,4
-1.8060000000000004e7,256,127,7
-1.805e7,256,129,5
-1.804e7,256,138,2
-1.803e7,256,120,4
-1.802e7,256,135,4
-1.801e7,256,144,3
-1.8e7,256,129,4
-1.7990000000000004e7,256,132,1
-1.798e7,256,135,6
-1.7970000000000004e7,256,144,3
-1.796e7,256,131,3
-1.795e7,256,134,6
-1.794e7,256,139,6
-1.793e7,256,147,7
-1.792e7,256,136,6
-1.791e7,256,134,12
-1.7900000000000004e7,256,133,3
-1.789e7,256,132,5
-1.7880000000000004e7,256,152,6
-1.787e7,256,133,14
-1.786e7,256,137,15
-1.785e7,256,133,12
-1.784e7,256,136,18
-1.783e7,256,135,11
-1.782e7,256,141,14
-1.7810000000000004e7,256,129,18
-1.78e7,256,129,5
-1.7790000000000004e7,256,144,6
-1.778e7,256,128,1
-1.777e7,256,129,3
-1.776e7,256,134,3
-1.775e7,256,126,7
-1.7740000000000004e7,256,126,3
-1.773e7,256,129,4
-1.7720000000000004e7,256,124,2
-1.771e7,256,126,4
-1.7700000000000004e7,256,126,2
-1.769e7,256,127,2
-1.768e7,256,123,4
-1.767e7,256,123,2
-1.766e7,256,138,4
-1.7650000000000004e7,256,141,3
-1.764e7,256,151,3
-1.7630000000000004e7,256,133,5
-1.762e7,256,119,1
-1.7610000000000004e7,256,128,4
-1.76e7,256,142,3
