Parameter,Image1,Image2,Image3
-1.87e7,700,347,13
-1.8689999999999996e7,700,343,17
-1.868e7,700,326,15
-1.867e7,700,348,26
-1.866e7,700,362,45
-1.865e7,700,355,34
-1.864e7,700,353,18
-1.863e7,700,361,40
-1.862e7,700,377,55
-1.861e7,700,361,105
-1.8599999999999996e7,700,352,116
-1.859e7,700,361,111
-1.858e7,700,338,76
-1.857e7,700,363,73
-1.856e7,700,354,79
-1.855e7,700,360,96
-1.854e7,700,343,85
-1.853e7,700,343,65
-1.852e7,700,360,70
-1.8509999999999996e7,700,367,98
-1.85e7,700,361,130
-1.849e7,700,346,100
-1.848e7,700,355,68
-1.847e7,700,344,25
-1.846e7,700,352,21
-1.845e7,700,374,40
-1.844e7,700,348,31
-1.843e7,700,349,26
-1.842e7,700,355,15
-1.841e7,700,364,6
-1.84e7,700,346,18
-1.839e7,700,329,15
-1.838e7,700,348,16
-1.837e7,700,352,6
-1.836e7,700,347,7
-1.835e7,700,370,19
-1.834e7,700,355,17
-1.833e7,700,365,7
-1.832e7,700,367,9
-1.831e7,700,346,2
-1.83e7,700,350,16
-1.829e7,700,342,8
-1.828e7,700,352,16
-1.827e7,700,340,13
-1.826e7,700,344,14
-1.825e7,700,341,22
-1.824e7,700,330,23
-1.823e7,700,337,16
-1.822e7,700,380,29
-1.821e7,700,351,26
-1.82e7,700,339,43
-1.819e7,700,373,38
-1.818e7,700,338,53
-1.817e7,700,305,52
-1.816e7,700,357,50
-1.815e7,700,356,47
-1.814e7,700,346,40
-1.813e7,700,366,41
-1.812e7,700,366,32
-1.811e7,700,365,23
-1.81e7,700,356,11
-1.809e7,700,347,19
-1.808e7,700,361,19
-1.807e7,700,357,16
-1.8060000000000004e7,700,343,13
-1.805e7,700,325,12
-1.804e7,700,339,7
-1.803e7,700,350,10
-1.802e7,700,330,8
-1.801e7,700,366,9
-1.8e7,700,365,6
-1.7990000000000004e7,700,363,10
-1.798e7,700,363,13
-1.7970000000000004e7,700,362,13
-1.796e7,700,351,6
-1.795e7,700,347,2
-1.794e7,700,361,8
-1.793e7,700,355,7
-1.792e7,700,376,6
-1.791e7,700,347,5
-1.7900000000000004e7,700,368,8
-1.789e7,700,339,4
-1.7880000000000004e7,700,344,6
-1.787e7,700,328,8
-1.786e7,700,342,14
-1.785e7,700,340,9
-1.784e7,700,318,7
-1.783e7,700,349,9
-1.782e7,700,347,11
-1.7810000000000004e7,700,375,6
-1.78e7,700,346,11
-1.7790000000000004e7,700,364,11
-1.778e7,700,351,5
-1.777e7,700,350,9
-1.776e7,700,342,9
-1.775e7,700,362,7
-1.7740000000000004e7,700,354,5
-1.773e7,700,357,6
-1.7720000000000004e7,700,361,9
-1.771e7,700,340,6
-1.7700000000000004e7,700,360,6
-1.769e7,700,375,10
-1.768e7,700,364,5
-1.767e7,700,360,6
-1.766e7,700,332,9
-1.7650000000000004e7,700,357,5
-1.764e7,700,356,5
-1.7630000000000004e7,700,329,6
-1.762e7,700,324,5
-1.7610000000000004e7,700,330,13
-1.76e7,700,349,9
