Equipment,location,notes
**Laser table facing computer or the wall**,"top -> down, west side -> south side",
,Lv2,
"Home power (+-15,5)",Lv2 above 623 nm box,
Benchtop power 2+1 Chn,Lv2 above 1.0 Cs MOT facing computer,
Benchtop power 1 Chn,Lv2 above 1.0 Cs MOT facing computer,
Benchtop power 1 Chn (x3),Lv2 above 1.0 Cs MOT facing wall,
Home power (24) (x2),Lv2 above 1.0 Cs Raman,
Benchtop power 1 Chn for 1.0 Cs Raman,Lv2 above New Focus lock box,
High voltage power,Lv2 above timebase drivers,
Benchtop power 1 Chn for 1.0 Na Raman seed,Lv2 above oscilloscope,
,Lv1,
Benchtop power 2+1 Chn for Cs MOT beat lock,Lv1 above 1.0 Cs MOT facing computer,
Till driver v2 for 1.0 Cs MOT,Lv1 above benchtop power supply,
Home temp servo for 1.0 Cs MOT,Lv1 above Till driver,
Valan,1.5 amplifier stack Lv1 above 1.0 Cs MOT,Save setting
Till driver v2 for 1.5 Na Raman,Lv1 above 1.5 Na Raman,
Home temp servo for 1.5 Na Raman (x2 + adaptor box),Lv1 above 1.5 Na Raman,
New Focus driver for Cs Raman,Lv1 above 1.0 Cs Raman,Save setting
Benchtop power 1 Chn,Lv1 next to New Focus driver,
Shutter driver,Lv1 above 1.0 Cs Raman,
New Focus lock box for 1.0 Cs Raman,Lv1 above 1.0 Cs Raman,
Timebase drivers for 1.0 Na Raman and Na D2,Lv1 above Thorlabs temp servo,Save setting
Thorlabs temp servo for 1.0 Na Raman doubler,Lv1 above 1.0 Na seed,
Home lock box for Na D2,Lv1 above 1.0 Na seed,
MPB Raman laser,Lv1 above 1.0 Na MOT,Save setting
,Table,
PLL for Cs Raman,Next to 1.0 Cs Raman,Save setting
,Floor,
PLL for Cs MOT,Below Cs MOT,Save setting
**Laser table facing library or machine table**,"top -> down, north side -> east side",
,Lv2,
Benchtop power 1 Chn,Lv2 northwest corner,
Home power (24),Lv2 above 623 nm box,
Benchtop power 2+1 Chn,Lv2 above D1 doubler beam path,
Benchtop power 1 Chn,Lv2 left of 2 Chn benchtop power,
FPGA box for 1.0,Lv2,
Software radio,Lv2,
High voltage power,Lv2 next to software radio,
Benchtop power 2+1 Chn,Lv2 next to radio computer,
Radio computer,Lv2 northeast corner,
,Lv1,
Home temp servo,Lv1 next to oscilloscope,
Timebase 1038 control box,Lv1 above 623 nm box,
Till driver v1 (unused),Lv1 above D1 double beam path,
Thorlabs temp servo for Na D1 seed,Lv1 above Na D1,
Thorlabs current for Na D1 seed,Lv1 above Na D1,
Home temp servo,Lv1 above 976 nm ECDL (Mango),
Thorlabs temp servo for Na D1 doubler,Lv1 above Na D1,
Home lock box for Na D1,Lv1 above Na saturated absorption beam path,
Shutter driver,Lv1 next to variac,
Variac for Na cell,Lv1 above 1.0 Na MOT,
,Table,
,Floor,
NKT amplifier,Floor northwest corner,
SFG temp servo,Floor on NKT amplifier,
Home temp servo,Floor on NKT amplifier,
Thorlabs current,Floor on NKT amplifier,
ALS fiber laser,Floor middle of table,
671 EOM stack,Floor northeast corner,
**Machine table side facing laser table**,"top -> down, west side -> south side",
,Lv2,
Keithley power (x2),Lv2 northwest corner,
Benchtop power 2+1 Chn,Lv2 facing computer,
Benchtop power 2 Chn,Lv2 above 1.5 Cs MOT/RP current,
Home power (24) x2,Lv2 next to benchtop power,
Benchtop power 1 Chn,Lv2 on two home power (24),
"Home power (+-15,5)",Lv2 middle,
"Benchtop power (x2, 1 Chn & 2+1 Chn) for uWave Amp","Lv2 next to home power (+-15,5)",Off
Benchtop power 1 Chn,Lv2 above uWave breadboard,
"Benchtop power (x2, 1 Chn & 2+1 Chn)",Lv2 southeast corner,
,Lv1,
Function generator for Na switching,Lv1 facing computer,
Till driver v1 for 1.5 Cs RP,Lv1 above 1.5 Cs,
Till driver v2 for 1.5 Cs MOT,Lv1 above 1.5 Cs,
Home temp servo (x2) for 1.5 Cs MOT/RP,Lv1 above 1.5 Cs,
Home lock box for 1.5 Cs,Lv1 above 1.5 Cs,
Novatec for 1.5 Cs lock,Lv1 above 1.5 Cs,Save setting
Benchtop power 1 Chn (x2),Lv1 above 1.5 Na,
High voltage power,Lv1 next to 2 benchtop power,
